Source,Destination IP,Packet Length
Motog Phone,52.46.141.49,140534
Echo plus 2nd gen,52.216.81.216,1079
Echo plus 2nd gen,3.222.151.239,69368
Motog Phone,52.46.129.75,3705333
Ring Door bell,96.245.170.99,90
Google onHub,96.245.170.99,90
Ring Door bell,3.234.86.209,1612
Ring Door bell,35.174.235.252,23308
Google onHub,35.174.235.252,13442
Echo plus 2nd gen,52.216.160.187,1079
Echo plus 2nd gen,52.216.228.184,1079
Echo plus 2nd gen,52.216.169.75,1079
Echo Look,205.251.243.55,444846
Echo Look,52.119.168.148,48130
Echo plus 2nd gen,52.216.240.108,1079
Motog Phone,54.239.26.244,510473
Motog Phone,72.21.206.140,150895
Motog Phone,52.55.169.240,10088
Motog Phone,3.226.195.129,62578
Motog Phone,34.237.205.95,41064
Motog Phone,52.46.133.119,213314
Echo plus 2nd gen,176.32.99.148,116127
Echo plus 2nd gen,52.94.228.52,226132
Echo plus 2nd gen,52.217.32.4,2158
Motog Phone,52.72.17.190,21894
Motog Phone,99.84.191.90,4720
Motog Phone,52.94.243.173,1041181
Echo plus 2nd gen,52.217.46.228,1328
Echo Look,52.46.159.66,569550
Echo plus 2nd gen,52.216.147.132,1079
Echo plus 2nd gen,52.46.158.193,11178
Echo plus 2nd gen,72.21.207.87,5808340
Motog Phone,52.46.145.112,124510
Router,192.168.1.113,26708
Motog Phone,204.85.30.12,2023098
Motog Phone,172.217.13.238,190781
Motog Phone,172.217.9.208,2225
Motog Phone,204.85.30.14,510268
Echo plus 2nd gen,52.94.243.11,1036759
Echo plus 2nd gen,52.216.76.84,1079
Echo plus 2nd gen,52.217.40.60,1079
Google onHub,172.217.15.99,940
Google onHub,172.217.13.228,26218
Motog Phone,54.239.26.210,852118
Echo plus 2nd gen,52.217.4.4,2158
Motog Phone,172.217.13.228,26444
Echo plus 2nd gen,52.216.242.116,1079
Echo plus 2nd gen,52.216.239.67,1079
Echo plus 2nd gen,52.216.166.19,1079
Echo plus 2nd gen,52.94.227.120,198100
Echo plus 2nd gen,52.216.81.56,1079
Echo plus 2nd gen,52.94.241.196,82718
Echo Look,72.21.207.143,45058
Echo Look,52.94.242.249,412868
Echo plus 2nd gen,52.94.229.76,128246
Echo plus 2nd gen,52.216.137.84,3237
Echo Look,52.46.144.154,245802
Echo plus 2nd gen,52.217.15.52,1079
Motog Phone,52.94.224.113,381016
Motog Phone,52.94.233.94,1439425
Motog Phone,52.46.134.112,9888703
Motog Phone,52.94.232.195,159971
Motog Phone,34.225.98.12,11010
Motog Phone,99.84.191.57,848
Motog Phone,99.84.191.97,9608
Echo plus 2nd gen,52.216.178.243,2158
Echo plus 2nd gen,52.94.237.71,11037
Echo plus 2nd gen,224.0.0.251,105779
Echo plus 2nd gen,35.186.218.191,17902
Motog Phone,52.46.141.48,708989
Echo plus 2nd gen,52.216.241.220,1079
Motog Phone,52.94.229.215,753904
Echo Look,52.46.128.105,671901
Echo plus 2nd gen,52.216.232.227,1079
Echo Look,52.94.232.206,614807
Echo plus 2nd gen,52.217.40.140,1079
Echo plus 2nd gen,52.217.14.100,4411
Motog Phone,54.239.19.125,912477
Motog Phone,172.217.7.170,758201
Motog Phone,172.217.7.202,1003496
Echo plus 2nd gen,52.216.147.27,1079
Echo plus 2nd gen,52.216.205.139,2158
Echo plus 2nd gen,52.217.41.204,2158
Echo plus 2nd gen,52.216.170.51,1079
Echo plus 2nd gen,52.216.146.19,1079
Echo Look,52.119.197.116,409877
Echo plus 2nd gen,52.216.163.155,1079
Echo plus 2nd gen,52.216.207.43,1079
Echo plus 2nd gen,52.216.145.155,1079
Echo plus 2nd gen,54.239.25.214,163818
Echo Look,54.239.27.11,486816
Echo plus 2nd gen,52.216.248.220,2158
Motog Phone,52.46.156.47,1358802
Motog Phone,52.119.162.179,979193
Motog Phone,52.94.243.170,1185371
Motog Phone,3.218.224.96,10082
Motog Phone,99.84.178.149,27287
Motog Phone,205.251.243.239,324940
Motog Phone,34.193.176.46,10812
Echo plus 2nd gen,52.94.240.157,109013
Echo plus 2nd gen,52.216.131.67,2158
Echo plus 2nd gen,54.239.18.66,1248599
Echo plus 2nd gen,52.216.90.60,1079
Echo Look,54.239.19.125,1015194
Echo plus 2nd gen,54.231.82.203,2158
Echo plus 2nd gen,52.119.196.25,24877
Echo plus 2nd gen,52.46.156.47,5877913
Echo plus 2nd gen,52.217.9.76,1079
Motog Phone,172.217.164.164,15756
Motog Phone,172.253.122.188,268693
Echo plus 2nd gen,52.217.1.20,2158
Echo plus 2nd gen,52.216.248.116,1079
Echo plus 2nd gen,52.217.38.60,1079
Echo plus 2nd gen,52.216.145.219,1079
Desktop (server),152.1.18.104,26287
Echo plus 2nd gen,52.94.228.85,92766
Echo plus 2nd gen,52.216.192.24,1079
Echo plus 2nd gen,52.216.238.91,2158
Echo plus 2nd gen,52.216.114.139,1079
Echo plus 2nd gen,52.216.104.171,1079
Motog Phone,54.239.29.142,573171
Motog Phone,151.101.249.16,304044
Motog Phone,52.2.150.125,4803
Motog Phone,52.46.137.70,130366
Motog Phone,18.211.31.84,11611
Echo plus 2nd gen,52.216.113.59,1079
Echo Look,176.32.99.148,443841
Echo Look,54.239.26.244,49854
Echo Look,52.46.159.73,263573
Echo plus 2nd gen,52.217.41.164,3237
Echo Look,52.94.243.173,573598
Echo plus 2nd gen,52.216.136.131,1079
Echo plus 2nd gen,52.119.196.31,31454
Motog Phone,172.217.13.246,422502
Motog Phone,172.217.15.98,128874
Echo plus 2nd gen,52.216.114.75,1079
Echo plus 2nd gen,52.119.196.66,54018
Desktop (server),152.1.18.105,11466
Echo plus 2nd gen,52.216.244.108,1079
Echo plus 2nd gen,52.216.76.244,1079
Echo plus 2nd gen,52.216.113.51,1079
Echo Look,52.46.158.171,282457
Echo plus 2nd gen,52.216.164.27,1079
Echo plus 2nd gen,52.217.4.84,1079
Echo plus 2nd gen,52.216.128.91,1079
Echo plus 2nd gen,52.46.129.41,157370
Motog Phone,172.217.13.78,342826
Echo plus 2nd gen,52.217.9.100,1079
Echo plus 2nd gen,52.119.197.108,113054
Echo plus 2nd gen,52.217.0.172,1079
Echo plus 2nd gen,54.239.31.37,11392568
Motog Phone,52.94.232.0,128267
Motog Phone,34.202.108.37,5079
Motog Phone,3.228.160.0,53688
Motog Phone,18.234.2.50,30357
Motog Phone,52.94.241.34,7047418
Motog Phone,13.249.37.158,17458
Motog Phone,52.94.237.96,14513
Motog Phone,34.226.241.132,9408
Motog Phone,54.192.30.92,69835
Echo plus 2nd gen,52.217.46.252,1079
Echo Look,72.21.207.190,202604
Echo Look,52.46.133.39,1424175
Echo plus 2nd gen,52.216.227.136,2158
Echo plus 2nd gen,52.217.12.228,1079
Echo plus 2nd gen,52.216.184.51,1079
Echo Look,52.46.158.193,38605
Echo Look,52.94.229.122,1385708
Echo plus 2nd gen,52.216.200.35,1079
Echo plus 2nd gen,52.216.144.179,1079
Echo plus 2nd gen,52.216.83.48,1079
Ring Door bell,34.196.129.63,9367
Google onHub,34.196.129.63,4353
Echo plus 2nd gen,52.216.65.144,1079
Echo plus 2nd gen,52.94.233.253,11450210
Echo plus 2nd gen,52.217.0.139,1079
Echo plus 2nd gen,52.216.236.131,2158
Echo plus 2nd gen,52.217.40.172,2158
Echo plus 2nd gen,13.226.143.179,2169
Motog Phone,72.21.206.56,1213113
Echo plus 2nd gen,52.217.14.156,1079
Motog Phone,172.217.164.174,284166
Motog Phone,34.199.220.127,14344
Echo Look,52.94.229.76,200215
Echo plus 2nd gen,52.216.200.139,1079
Motog Phone,172.217.7.206,109226
Motog Phone,204.85.30.13,4328219
Echo Look,52.46.141.108,1108248
Echo plus 2nd gen,52.217.39.36,2158
Echo plus 2nd gen,72.21.207.143,26904
Motog Phone,172.217.13.66,128054
Echo plus 2nd gen,52.216.185.75,1079
Echo plus 2nd gen,52.216.171.147,1079
Motog Phone,99.84.184.100,23990
Motog Phone,52.22.117.242,5066
Motog Phone,72.21.195.82,51049
Echo plus 2nd gen,52.216.178.251,1079
Motog Phone,172.217.7.164,13244
Echo plus 2nd gen,52.216.78.212,1079
Echo plus 2nd gen,52.216.135.43,2224
Echo plus 2nd gen,52.216.64.144,1079
Echo plus 2nd gen,52.216.204.171,1079
Echo plus 2nd gen,52.217.32.132,2158
Echo plus 2nd gen,52.216.233.19,1079
Echo plus 2nd gen,52.217.13.180,1079
Echo Look,54.239.27.116,13258
Echo Look,99.84.181.95,1288
Echo Look,54.192.30.35,1310
Echo plus 2nd gen,52.216.140.4,1079
Echo plus 2nd gen,52.119.162.179,40755
Echo Look,52.46.145.58,166755
Echo plus 2nd gen,52.216.86.203,55692
Ring Door bell,52.5.9.116,9085
Google onHub,52.5.9.116,4047
Echo plus 2nd gen,52.216.229.251,1079
Google onHub,172.217.15.67,32837
Echo plus 2nd gen,52.217.12.156,1079
Echo plus 2nd gen,52.216.170.227,1079
Motog Phone,52.72.72.148,9750
Motog Phone,107.23.129.17,72342
Motog Phone,35.171.142.240,12493
Motog Phone,13.249.43.77,84576
Echo plus 2nd gen,52.217.0.244,1079
Echo plus 2nd gen,52.216.146.107,1079
Echo plus 2nd gen,13.249.43.67,12101
Echo plus 2nd gen,99.84.181.47,1310
Echo plus 2nd gen,52.216.248.44,1079
Echo plus 2nd gen,52.216.131.51,1079
Echo plus 2nd gen,52.216.141.36,1079
Echo plus 2nd gen,52.216.171.27,2158
Echo plus 2nd gen,52.216.184.43,1079
Echo plus 2nd gen,52.216.232.171,1079
Echo plus 2nd gen,52.94.232.230,151545
Smartwifiplug,52.27.158.217,12570
Google onHub,52.27.158.217,12970
Echo plus 2nd gen,52.94.224.149,7224
Echo plus 2nd gen,52.216.242.4,2158
Echo plus 2nd gen,52.216.241.236,1079
Echo plus 2nd gen,52.217.12.108,1079
Echo plus 2nd gen,52.216.243.124,2158
Motog Phone,34.197.14.251,9959
Motog Phone,3.95.140.135,104069
Motog Phone,18.209.234.142,108311
Motog Phone,99.84.186.140,29034
Motog Phone,34.198.53.83,10776
Motog Phone,99.84.181.33,113546
Echo plus 2nd gen,52.216.95.115,1079
Motog Phone,172.217.13.226,127160
Echo plus 2nd gen,52.217.12.188,3237
Echo plus 2nd gen,52.216.143.220,1079
Echo plus 2nd gen,54.231.112.184,1079
Desktop (server),91.189.91.38,33608
Desktop (server),91.189.95.83,16970
Desktop (server),99.84.181.56,604
Desktop (server),172.217.15.78,12914
Desktop (server),91.189.91.39,164654
Desktop (server),104.236.0.104,12000
Desktop (server),99.84.181.14,1271
Desktop (server),54.192.30.74,2552
Desktop (server),91.189.92.20,71816
Desktop (server),91.189.92.17,69870
Echo plus 2nd gen,52.216.94.171,1079
Echo Look,52.94.233.253,1039465
Echo plus 2nd gen,52.216.251.124,1079
Echo Look,72.21.207.87,110375
Echo plus 2nd gen,52.216.106.252,1079
Echo plus 2nd gen,52.217.1.228,2158
Echo plus 2nd gen,54.239.26.244,15728
Echo plus 2nd gen,52.216.205.91,2158
Echo plus 2nd gen,52.216.164.107,2158
Echo plus 2nd gen,52.216.110.75,1079
Motog Phone,72.21.207.143,305094
Motog Phone,34.194.195.179,66775
Motog Phone,216.239.35.12,1800
Motog Phone,35.170.226.244,13196
Desktop (server),51.15.67.4,779720
Desktop (server),8.43.85.14,22133
Echo plus 2nd gen,52.216.131.27,1079
Echo plus 2nd gen,54.239.27.116,9906
Echo plus 2nd gen,52.216.248.164,1079
Echo plus 2nd gen,52.216.146.147,1079
Motog Phone,172.217.7.162,132924
Echo plus 2nd gen,52.217.12.20,1079
Echo plus 2nd gen,52.216.130.163,1079
Echo plus 2nd gen,52.216.132.35,2158
Echo plus 2nd gen,52.216.139.131,1079
Echo Look,52.119.196.31,33821
Echo Look,54.239.18.66,518605
Echo plus 2nd gen,52.217.44.244,1079
Echo plus 2nd gen,52.216.137.92,3266
Echo plus 2nd gen,52.216.101.3,2158
Echo plus 2nd gen,52.216.21.107,1079
Echo plus 2nd gen,52.216.244.236,1079
Motog Phone,52.46.137.51,1385838
Motog Phone,3.210.159.210,4945
Motog Phone,3.234.84.234,70822
Motog Phone,13.249.43.99,90516
Echo plus 2nd gen,52.216.86.75,1079
Echo plus 2nd gen,52.94.229.122,388146
Motog Phone,172.217.9.195,11139
Echo plus 2nd gen,52.216.25.212,1079
Motog Phone,172.217.164.131,149182
Echo plus 2nd gen,52.216.186.147,1079
Echo plus 2nd gen,52.216.96.195,2158
Echo plus 2nd gen,52.216.102.99,1079
Echo Look,54.239.26.210,122943
Echo plus 2nd gen,52.216.88.187,1079
Echo plus 2nd gen,52.216.105.219,1079
Echo plus 2nd gen,52.216.25.220,1079
Echo plus 2nd gen,52.216.207.11,2158
Echo plus 2nd gen,52.216.201.19,1079
Echo plus 2nd gen,52.216.115.59,2158
Echo plus 2nd gen,52.46.128.105,121141
Echo plus 2nd gen,52.216.134.27,1079
Motog Phone,54.175.70.65,9816
Motog Phone,54.208.152.221,55462
Motog Phone,104.70.71.76,13342
Echo plus 2nd gen,52.216.81.8,1079
Motog Phone,52.5.4.67,10814
Motog Phone,54.192.30.2,54243
Echo plus 2nd gen,52.216.95.19,1079
Ring Door bell,52.22.75.95,20116
Google onHub,52.22.75.95,10080
Echo Look,176.32.101.52,681555
Echo plus 2nd gen,52.216.84.203,1079
Echo plus 2nd gen,52.216.9.131,1079
Echo plus 2nd gen,52.216.130.27,1079
Echo plus 2nd gen,52.216.110.203,1079
Echo plus 2nd gen,52.217.41.4,2158
Motog Phone,172.217.5.234,871493
Echo plus 2nd gen,52.216.130.203,1079
Echo plus 2nd gen,52.216.138.203,3237
Echo plus 2nd gen,52.119.197.96,230078
Motog Phone,172.217.8.4,394737
Echo plus 2nd gen,52.216.109.243,3237
Echo plus 2nd gen,52.216.187.67,1079
Motog Phone,54.152.129.243,12722
Echo plus 2nd gen,52.217.14.4,2158
Echo plus 2nd gen,52.216.146.235,1079
Echo plus 2nd gen,52.216.114.211,1079
Echo plus 2nd gen,52.216.226.200,1079
Echo Look,52.94.228.52,120667
Echo plus 2nd gen,52.217.44.252,1079
Echo plus 2nd gen,52.217.37.68,1079
Echo plus 2nd gen,52.216.17.48,1079
Google onHub,172.217.164.131,8033
Google onHub,172.217.13.68,36626
Echo plus 2nd gen,52.216.97.51,1079
Echo plus 2nd gen,52.216.104.211,2158
Echo plus 2nd gen,52.94.224.113,24598
Echo plus 2nd gen,52.217.36.132,1079
Echo plus 2nd gen,52.94.242.249,301189
Echo plus 2nd gen,52.216.129.155,1079
Echo plus 2nd gen,52.216.205.43,1079
Motog Phone,52.94.240.240,467087
Motog Phone,18.204.250.181,10096
Motog Phone,52.205.198.54,13653
Motog Phone,54.192.30.101,100552
Echo Look,52.94.243.11,646028
Echo plus 2nd gen,52.216.141.52,2158
Echo plus 2nd gen,52.216.134.219,1079
Desktop (server),34.249.145.219,12702
Echo plus 2nd gen,52.217.8.252,1079
Echo plus 2nd gen,52.216.113.203,2158
Echo plus 2nd gen,52.216.132.219,1079
Echo plus 2nd gen,52.217.40.108,1079
Echo plus 2nd gen,52.217.47.52,1079
Echo plus 2nd gen,52.216.130.211,1079
Echo plus 2nd gen,52.216.64.168,1079
Echo plus 2nd gen,52.216.112.156,1079
Google onHub,172.217.5.238,434037
Motog Phone,35.193.104.166,47563
Echo plus 2nd gen,52.216.238.139,2158
Echo plus 2nd gen,52.216.243.60,1079
